기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,합계
2014/02,57.61622733,63.80917607,94.43435921,65.09612091,201.65966201,165.02327211,201.01158508,151.1975951,0,245.1106101,167.9419807,173.787295,148.9800045,151.2040485,100.3243996,132.8885632,149.73913043,95.02653766
2014/01,58.89224004,66.88606766,94.7362637,68.00436321,226.92833788,162.22239658,190.89796782,146.7222554,0,175.0847559,152.8491682,165.9630256,138.546602,140.727411,96.0438241,121.4973301,138.78691141,95.16022875
2013/12,12.84203113,46.01305471,70.60039715,46.87584206,203.70602643,153.99877686,192.98480202,159.3582401,0,207.425635,159.7440651,166.1212015,148.9389103,148.4058037,100.3661689,129.3280652,146.51539708,76.13118841
2013/11,19.46068849,47.72363565,74.6395266,48.67702116,208.32885806,148.33996462,179.13655292,147.2646867,0,151.7190837,155.02123,160.294775,143.5230096,144.4233392,92.7640028,118.0912264,143.49710983,76.39503635
2013/10,29.15562859,53.09668371,89.43712755,54.37481699,215.44236857,161.62013448,193.9114283,158.7440802,0,186.2228313,169.7161442,172.0489664,151.0793855,155.31437,98.8130739,130.1880034,164.78873239,83.30091547
2013/09,26.65035773,54.58357515,85.20039457,55.73240223,231.97828757,158.26669867,178.21927182,180.1791131,0,221.5479818,154.3445891,149.161946,123.6110509,181.0666044,91.1683207,125.1892645,,74.5233547
2013/08,32.72627349,56.82661138,94.51862715,58.34956183,232.63129829,166.90398968,211.41468415,150.9993703,0,163.3121247,156.300564,168.7443008,150.9524569,152.3092689,90.4999509,139.2362429,,87.36958815
2013/07,52.48469948,67.28927812,102.9004044,68.68559672,227.78421647,169.92085399,228.36444142,151.7940696,0,166.8265486,162.5725517,168.0465285,147.48837,150.9979348,102.2055255,143.7566566,,98.27168824
2013/06,48.84956812,63.24140628,90.15944843,64.31780498,229.8655213,162.37215196,214.57480328,154.1877259,0,167.1739433,171.0903467,174.0569565,149.1902778,154.7058249,102.3435207,139.1616374,,94.19890626
2013/05,47.97603198,61.54474515,90.10872669,62.45540238,230.18516814,156.46233391,200.64820381,148.1718253,0,157.046506,156.2350768,165.4957027,146.3798903,148.8246514,100.2637102,135.5775464,,90.39804959
2013/04,51.31067176,62.23139533,96.85465118,63.58937539,219.93648071,165.64377134,211.54832322,160.7864861,0,169.5806384,174.1313532,177.6105308,158.5951524,161.223762,106.2843797,145.0849082,,97.00831299
2013/03,48.47597933,63.30732889,91.80642664,64.46937321,213.73443908,162.36697608,206.59124458,150.8428255,0,154.1597643,164.9597515,164.2467504,149.7925752,150.7948375,105.0894179,138.7270008,,89.99655558
2013/02,48.24412938,61.72956251,101.30964972,63.26101787,212.73229756,160.6022135,208.15897921,148.4144941,0,151.3622838,164.3976019,165.3436737,145.8002186,149.0050545,103.5773757,136.3896921,,90.06842463
2013/01,52.67065231,67.11492288,105.35187713,68.670333,232.31178917,164.65006456,229.36176021,150.1203549,0,160.2095334,165.5420904,172.8669848,151.3720312,151.3844452,103.0749609,134.8786582,,95.79322467
2012/12,28.4450052,48.96202152,73.60983696,49.96478387,237.93704138,147.68508234,241.53337775,161.6805642,,183.3948921,172.3249168,189.889589,164.8029994,160.607851,73.8494442,128.8499135,1983.40061095,80.4010413
2012/11,25.85991179,51.64820322,78.97060246,52.80569157,240.28663435,136.01626365,181.22077436,136.0952341,,145.8535188,160.026981,156.5642234,137.4416207,137.2905085,73.5841913,114.2561897,1036.92302914,75.19710256
2012/10,27.34083833,53.33304414,68.25572874,53.93656918,249.90205072,154.55028961,192.0295637,146.425405,,156.8840746,172.0137255,166.4719398,143.3860396,147.4964526,82.9641489,124.8171275,1006.34838818,72.21361186
2012/09,25.37241606,55.72939487,77.47182373,56.54501837,257.36078755,157.51381203,163.95202392,130.2054992,,138.2318632,147.9076848,145.4953522,123.8456155,130.2399953,68.873161,114.722513,792.85229273,67.46672217
2012/08,42.53954494,69.40335322,105.45871003,70.90858561,260.45366987,182.57438767,213.44272078,157.0363475,,174.109206,170.2861179,176.8482732,151.5374749,157.1921793,71.4878826,132.0442668,982.43612912,91.39195171
2012/07,45.70925296,70.58629689,110.26109915,72.32674678,266.81261516,197.71036259,245.34117095,181.0258423,,197.380453,186.9103954,206.5875797,176.0869639,181.5254529,96.2941133,150.1848985,2233.69418601,100.2818551
2012/06,38.92943957,64.26100991,102.50230958,66.02340776,263.41021857,177.85202884,228.55120043,174.2107627,,189.2709655,193.0190495,199.902343,168.3611061,174.4857623,94.1190146,140.8206358,9914.69903558,89.83488101
2012/05,40.46104874,67.91038038,108.91145691,69.50531812,253.99914818,171.03598721,218.58906223,167.7693862,,180.1514842,183.4627947,186.4078899,165.3933018,168.9181751,92.3399525,141.5109332,1320.68802272,92.46151247
2012/04,47.54981764,77.7751285,126.36827951,79.80082838,245.57835713,167.43610866,205.21390406,155.1878517,,162.5058303,175.8639061,169.5288612,152.7905112,154.4031664,88.5375488,133.7910623,1091.67190729,100.87955431
2012/03,51.97012088,81.07408344,136.58580835,83.48000458,257.14755402,187.27550935,250.24889748,174.2341929,,187.7457996,193.1914548,200.4660176,174.7980904,172.5403712,68.1158173,134.2680414,17653.5295148,108.16882767
2012/02,47.9520417,75.8745221,125.99656837,78.01171621,248.67633094,170.27390796,241.39782371,156.9481175,,173.035506,183.1499679,185.3791564,154.3399723,157.1449253,66.0877502,117.2113152,2565.91518249,100.15267541
2012/01,51.29545983,80.02739602,129.4265346,82.01916917,258.71796342,172.15887774,221.2156981,144.5833144,,146.4424504,165.3502688,174.4167884,141.4300867,145.3194863,81.8696162,117.3991965,1925.93570856,100.81974523
2011/12,39.6371766,71.60993217,97.51112222,72.6750295,241.67114712,158.76702992,207.11009216,144.3128807,,153.3569177,162.22092,163.7345997,145.0654135,144.8550462,81.3333948,116.272385,1581.08598479,90.3871001
2011/11,38.43693044,66.3369195,95.08742084,67.47999286,257.37015228,157.12770941,188.40466357,138.3656278,,144.8575369,151.990559,156.5980684,138.1073168,138.7677285,82.8369402,110.1927038,984.94808396,80.71225783
2011/10,34.97695589,64.52207372,87.28245162,65.41608871,276.51748768,143.44293095,178.83040534,121.8111379,,127.6778399,147.4812887,140.0597828,122.2529291,122.4507016,79.0606697,103.2797569,761.14590716,72.7558981
2011/09,36.16238093,65.96855597,88.87985012,66.84721068,249.75503741,154.17838647,161.90442562,128.4919852,,144.0492355,152.2613532,146.6533787,114.90909,128.948365,81.0846713,111.665623,643.21410675,79.75526027
2011/08,37.26666873,66.88803948,92.04241528,67.90387719,342.46805264,155.73743829,147.74957147,112.4656796,,129.5008361,137.1873467,127.1501881,115.6579163,113.3080875,77.825774,109.3330597,567.00593362,76.49671698
2011/07,37.76673951,65.97810913,91.54435515,67.01916112,336.09639055,156.93553738,155.32958887,114.8092605,,134.2238783,143.5255334,128.7501709,129.809739,115.5646474,78.346893,113.059648,1083.91550625,77.87051326
2011/06,39.56398217,68.75205839,103.4116805,70.34564261,240.28325414,133.04353817,158.31329295,117.2415752,,125.13877,137.5998835,130.1295099,131.7974084,119.5690223,78.7071644,107.631306,2010.83926755,79.02396753
2011/05,39.12765521,68.49574932,106.04525222,69.81127047,296.53477022,132.38867358,168.23563075,116.1049226,,119.3902102,135.7521314,125.7460703,123.4522362,116.8369579,76.8549136,106.1295353,1380.79651425,74.13318224
2011/04,39.13500586,67.02943973,103.34399671,68.59593095,218.79155072,126.05700623,175.06145796,116.294103,,119.8281771,132.7054833,131.8409321,126.2981174,116.7843257,81.1499809,105.4543049,391.08098526,75.271944
2011/03,40.78655921,69.19848485,101.31804423,70.49456032,186.31754328,129.67674502,175.02044613,122.4380377,,127.5186298,136.9263546,138.6894139,133.2795203,122.4295315,79.1214111,109.3655285,825.54704883,80.18813912
