기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,배출권거래비용정산금,전력시장_계,PPA_계,전력시장+PPA_계
2022/02,9039.295687680002,22462.148352929995,16.1081088,22478.256461729994,364.20156690000005,32950.11728329001,928.7148276300001,780.1591837999996,320.48646483,1229.898252689999,798.1740011400003,364.31855527000005,66.42319196,1298.9057733700004,0,4858.365423059999,390.2487,0,71009.19995424002,2900.528,73909.72795424002
2022/01,9430.168946060001,22825.86670976001,17.833977599999997,22843.700687360008,987.6944628199999,30874.33962378999,987.1561044599999,665.1093628200001,285.54821996,811.2505241000005,555.89433747,340.2400033200001,58.164154360000005,1188.05097353,0,3904.257575560001,303.3573,0,69330.67476626999,1997.272,71327.94676626999
2021/12,7952.60265042,21881.27432674,0,21881.27432674,511.86581781000007,27309.60788154,913.84110939,631.5077875899998,250.66444138,599.0111479700003,630.9999287200001,299.13880631,53.879566530000005,1194.8022910799998,0,3660.0039695799996,297.4402,0,62526.636011649985,1468.308,63994.94401164999
2021/11,5328.05906112,17828.1954773,280.26844759,18108.46392489,368.90716653999993,19869.867731439997,474.20700631,518.5489943200001,212.87489231,560.3181793600013,443.89902627000015,244.45566116999987,46.57998917,791.7955855099999,0,2818.472328110001,261.8191,0,47229.79632848,1369.822,48599.61832848
2021/10,4491.19702383,14663.529177260003,91.51009802,14755.039275280003,422.53338726999993,15893.507223489996,369.1826302,450.84699437999984,108.14227805,604.6015182200007,225.4400027500001,241.16599864999998,39.92839219,794.38736422,0,2464.5125484600007,216.9539,0,38612.92595081,1502.738,40115.66395081
2021/09,3784.56252706,14798.388202789998,52.0927291,14850.480931889999,432.26352421999997,15291.368281109992,359.9413826,391.6878980500002,178.84009913999998,492.1567244100011,215.8868198800001,318.39864162999993,35.43734723,799.90185037,0,2432.3093807100017,185.4925,0,37336.41857443999,1259.342,38595.760574439984
2021/08,4973.28376098,19627.319780559992,235.80036826,19863.12014881999,357.55997648,19144.46234366,519.96373744,380.88113767999994,162.88937217999998,519.7376643899996,154.77194765999994,323.47531612999995,33.923542510000004,931.1458293000003,0,2506.82480985,241.4175,0,47606.63225936998,1280.555,48887.18725936998
2021/07,7524.079391239998,20203.66122455,216.65035925,20420.3115838,554.9264911099999,18509.954687370002,472.69775883,334.8513381800001,10.608579850000002,574.4610180500005,112.06286329000002,378.9771207099999,31.60625701,867.8804235600002,0,2310.447600650001,240.199,0,50032.61653671,1448.362,51480.97853671
2021/06,7510.183975270001,14731.844724929997,120.18430984999999,14852.029034779996,312.1428642199999,13137.283679189997,302.19436675000003,290.8366204000001,4.9e-7,531.6423915599999,112.66670476000004,349.30202192000013,29.23002782,601.1631289799999,0,1914.8408959300002,199.3156,0,38227.99046585999,1363.231,39591.22146585999
2021/05,7872.210629139999,11854.252012029994,178.28203712,12032.534049149994,361.49813108999996,11205.465268129996,285.32401136,300.45676671999996,104.62648435,500.86298664000105,220.40351177999997,274.02721791000016,30.579071380000002,642.86199975,0,2073.818038530001,129.1082,5517.95146779,39477.90973140999,1284.079,40761.98873140999
2021/04,7486.5650899,10022.138057560001,88.8835222,10111.021579760001,184.43547125999993,11573.457915690002,286.99220942,282.66539937000005,148.4056036,505.91603072999897,216.11918817999998,186.1471605800001,29.91127163,576.43233602,0,1945.596990109999,183.3609,0,31771.430185000005,1322.254,33093.684185000006
2021/03,9140.573495190001,11513.09156035,114.81324872,11627.90480907,177.00579844999996,14837.209286450006,307.98396185999997,314.60087808,136.80058411,494.43280481999807,239.46872073999984,178.01554199999998,35.8157813,664.4724717600002,0,2063.606782809998,256.1105,0,38410.39468144001,1254.837,39665.23168144001
